rank,order_book_id,total_turnover,eng_symbol,abbrev_symbol,board_type,symbol,listed_date,de_listed_date,status,round_lot,a_share_id,exchange,type,trading_code,unique_id,stock_connect,trading_hours,selection_date,rank_window_start,rank_window_end,in_hkconnect_selection_20260506
25,02706.XHKG,2109076390.0,HAIZHI TECH GP,HZKJJT,MainBoard,海致科技集团,2026-02-13,0000-00-00,Active,200.0,,XHKG,CS,02706,02706_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
26,01651.XHKG,1851746210.0,TSUGAMI CHINA,JSJCZG,MainBoard,津上机床中国,2017-09-25,0000-00-00,Active,1000.0,,XHKG,CS,01651,01651_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
27,02722.XHKG,1778707865.0,CHONGQING M&E,CQJD,MainBoard,重庆机电,2008-06-13,0000-00-00,Active,2000.0,,XHKG,CS,02722,02722_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
28,01698.XHKG,1650388171.0,TME-SW,TXYYSW,MainBoard,腾讯音乐-SW,2022-09-21,0000-00-00,Active,100.0,,XHKG,CS,01698,01698_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
29,01866.XHKG,1523280796.0,CHINA XLX FERT,ZGXLXHF,MainBoard,中国心连心化肥,2009-12-08,0000-00-00,Active,1000.0,,XHKG,CS,01866,01866_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
30,06810.XHKG,1509654063.0,SUNMI TECH-W,SMKJW,MainBoard,商米科技-W,2026-04-29,0000-00-00,Active,100.0,,XHKG,CS,06810,06810_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
31,02245.XHKG,1498818676.0,LYGEND RESOURCE,LQZY,MainBoard,力勤资源,2022-12-01,0000-00-00,Active,200.0,,XHKG,CS,02245,02245_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
32,01768.XHKG,1471759406.0,BUSYMING,MMHM,MainBoard,鸣鸣很忙,2026-01-28,0000-00-00,Active,100.0,,XHKG,CS,01768,01768_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
33,06636.XHKG,1450966521.0,EXTREME VISION,JSJ,MainBoard,极视角,2026-03-30,0000-00-00,Active,50.0,,XHKG,CS,06636,06636_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
34,01609.XHKG,1273662294.0,STAR SPORTS MED,TXYL,MainBoard,天星医疗,2026-05-05,0000-00-00,Active,50.0,,XHKG,CS,01609,01609_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
35,02526.XHKG,1257504727.0,DIAGENS-B,DSB,MainBoard,德适-B,2026-03-30,0000-00-00,Active,50.0,,XHKG,CS,02526,02526_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
36,02225.XHKG,1226884809.0,JINHAI MED TECH,JHYLKJ,MainBoard,今海医疗科技,2017-10-17,0000-00-00,Active,5000.0,,XHKG,CS,02225,02225_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
37,02696.XHKG,1203154314.0,HENLIUS,FHHL,MainBoard,复宏汉霖,2019-09-25,0000-00-00,Active,100.0,,XHKG,CS,02696,02696_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
38,02718.XHKG,1116219566.0,MININGLAMP-W,MLKJW,MainBoard,明略科技-W,2025-11-03,0000-00-00,Active,40.0,,XHKG,CS,02718,02718_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
39,06871.XHKG,1043812356.0,ROBOTPHOENIX,YFKJ,MainBoard,翼菲科技,2026-05-18,0000-00-00,Active,100.0,,XHKG,CS,06871,06871_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
40,00679.XHKG,1006445595.0,ASIA TELE-NET,YZLWKJ,MainBoard,亚洲联网科技,1991-01-31,0000-00-00,Active,10000.0,,XHKG,CS,00679,00679_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
41,01716.XHKG,967862656.0,MOST KWAI CHUNG,MJKY,MainBoard,毛记葵涌,2018-03-28,0000-00-00,Active,2000.0,,XHKG,CS,01716,01716_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
42,02026.XHKG,945322302.0,PONY-W,XMZXW,MainBoard,小马智行-W,2025-11-06,0000-00-00,Active,100.0,,XHKG,CS,02026,02026_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
43,00595.XHKG,903042004.0,AV CONCEPT HOLD,AVCONCEPTHOLD,MainBoard,AVCONCEPTHOLD,1996-04-24,0000-00-00,Active,2000.0,,XHKG,CS,00595,00595_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
44,02339.XHKG,902230257.0,BWI INT'L,JXGJ,MainBoard,京西国际,2003-10-10,0000-00-00,Active,2000.0,,XHKG,CS,02339,02339_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
45,00866.XHKG,892977599.0,CHINA QINFA,ZGQF,MainBoard,中国秦发,2009-07-03,0000-00-00,Active,2000.0,,XHKG,CS,00866,00866_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
46,01021.XHKG,890822177.0,HUAYAN ROBOTICS,HYJQR,MainBoard,华沿机器人,2026-03-30,0000-00-00,Active,200.0,,XHKG,CS,01021,01021_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
47,02198.XHKG,810928322.0,CHINA SANJIANG,ZGSJHG,MainBoard,中国三江化工,2010-09-16,0000-00-00,Active,1000.0,,XHKG,CS,02198,02198_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
48,07630.XHKG,791286124.0,IMPACT THERAP-B,YPYYB,MainBoard,英派药业-B,2026-05-13,0000-00-00,Active,200.0,,XHKG,CS,07630,07630_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
49,01672.XHKG,773837579.0,ASCLETIS-B,GLZYB,MainBoard,歌礼制药-B,2018-08-01,0000-00-00,Active,1000.0,,XHKG,CS,01672,01672_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
50,07489.XHKG,734616056.0,VOYAH AUTO,LTQC,MainBoard,岚图汽车,2026-03-19,0000-00-00,Active,1000.0,,XHKG,CS,07489,07489_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
51,00918.XHKG,681048215.0,MAJESTIC DRAGON,LYHKKJ,MainBoard,龙翼航空科技,1997-10-15,0000-00-00,Active,6000.0,,XHKG,CS,00918,00918_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
52,01953.XHKG,672979474.0,RIMBACO,RIMBACO,MainBoard,RIMBACO,2020-04-28,0000-00-00,Active,5000.0,,XHKG,CS,01953,01953_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
53,02442.XHKG,664182060.0,EASY SMART GP,YJJTKG,MainBoard,怡俊集团控股,2023-05-09,0000-00-00,Active,2000.0,,XHKG,CS,02442,02442_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
54,00622.XHKG,651146102.0,OSHIDORI,WHDKG,MainBoard,威华达控股,1991-09-16,0000-00-00,Active,3000.0,,XHKG,CS,00622,00622_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
55,00600.XHKG,625247590.0,AXERA,AXYZ,MainBoard,爱芯元智,2026-02-10,0000-00-00,Active,100.0,,XHKG,CS,00600,00600_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
56,03625.XHKG,617244207.0,FOURSEMI,FLY,MainBoard,傅里叶,2026-03-31,0000-00-00,Active,100.0,,XHKG,CS,03625,03625_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
57,02726.XHKG,615002868.0,EPIWORLD,HTTC,MainBoard,瀚天天成,2026-03-30,0000-00-00,Active,50.0,,XHKG,CS,02726,02726_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
58,00596.XHKG,603214091.0,INSPUR DIGI ENT,LCSZQY,MainBoard,浪潮数字企业,2008-08-29,0000-00-00,Active,2000.0,,XHKG,CS,00596,00596_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
59,02256.XHKG,573410166.0,ABBISKO-B,HYB,MainBoard,和誉-B,2021-10-13,0000-00-00,Active,1000.0,,XHKG,CS,02256,02256_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
60,00471.XHKG,571041328.0,SILKWAVE INC,ZBSJ,MainBoard,中播数据,2005-10-10,0000-00-00,Active,4000.0,,XHKG,CS,00471,00471_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
61,00340.XHKG,567370396.0,TONGGUAN GOLD,TGHJ,MainBoard,潼关黄金,1997-03-26,0000-00-00,Active,2000.0,,XHKG,CS,00340,00340_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
62,01045.XHKG,566821475.0,APT SATELLITE,YTWX,MainBoard,亚太卫星,1996-12-18,0000-00-00,Active,2000.0,,XHKG,CS,01045,01045_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
63,03355.XHKG,561349217.0,FS.COM,FSCX,MainBoard,飞速创新,2026-03-23,0000-00-00,Active,100.0,,XHKG,CS,03355,03355_02.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
64,01440.XHKG,554414877.0,STAR SHINE HLDG,YXKG,MainBoard,应星控股,2021-01-13,0000-00-00,Active,2500.0,,XHKG,CS,01440,01440_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
65,08299.XHKG,553551224.0,GT GOLD,DTHJ,GEM,大唐黄金,2004-09-23,0000-00-00,Active,24000.0,,XHKG,CS,08299,08299_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
66,09936.XHKG,548182716.0,XIMEI RESOURCES,XMZYWB,MainBoard,稀美资源-五百,2020-03-12,0000-00-00,Active,500.0,,XHKG,CS,09936,09936_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
67,00863.XHKG,547446322.0,OSL GROUP,OSLJT,MainBoard,OSL集团,2015-09-08,0000-00-00,Active,500.0,,XHKG,CS,00863,00863_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
68,03336.XHKG,525453144.0,JU TENG INTL,JTGJ,MainBoard,巨腾国际,2005-11-03,0000-00-00,Active,2000.0,,XHKG,CS,03336,03336_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
69,00182.XHKG,524431162.0,CONCORD NE,XHXNY,MainBoard,协合新能源,1991-11-27,0000-00-00,Active,10000.0,,XHKG,CS,00182,00182_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
70,01511.XHKG,511500872.0,UISEE TECH,YSKJ,MainBoard,驭势科技,2026-05-20,0000-00-00,Active,50.0,,XHKG,CS,01511,01511_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
71,00580.XHKG,510263699.0,SUN.KING TECH,SJKJ,MainBoard,赛晶科技,2010-10-13,0000-00-00,Active,2000.0,,XHKG,CS,00580,00580_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
72,00648.XHKG,492174403.0,SOFTMEDX,JJKL,MainBoard,京玖康疗,1990-10-29,0000-00-00,Active,1000.0,,XHKG,CS,00648,00648_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
73,02729.XHKG,473880263.0,GALAXIS TECH,KLSKJ,MainBoard,凯乐士科技,2026-03-24,0000-00-00,Active,200.0,,XHKG,CS,02729,02729_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
74,01617.XHKG,457738186.0,NANFANG COMM,NFTX,MainBoard,南方通信,2016-12-12,0000-00-00,Active,4000.0,,XHKG,CS,01617,01617_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
75,06831.XHKG,446183016.0,GREEN TEA GROUP,LCJT,MainBoard,绿茶集团,2025-05-16,0000-00-00,Active,400.0,,XHKG,CS,06831,06831_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
76,02623.XHKG,437949206.0,ADD NEW ENERGY,ADXNY,MainBoard,爱德新能源,2012-04-27,0000-00-00,Active,2000.0,,XHKG,CS,02623,02623_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
77,02427.XHKG,423928926.0,GUANZE MEDICAL,GUANZEMEDICAL,MainBoard,GUANZEMEDICAL,2022-12-29,0000-00-00,Active,5000.0,,XHKG,CS,02427,02427_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
78,03833.XHKG,422508460.0,XINXIN MINING,XJXXKY,MainBoard,新疆新鑫矿业,2007-10-12,0000-00-00,Active,1000.0,,XHKG,CS,03833,03833_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
79,00565.XHKG,417735678.0,ART GROUP HOLD,JYJTKG,MainBoard,锦艺集团控股,2003-09-10,0000-00-00,Active,5000.0,,XHKG,CS,00565,00565_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
80,00117.XHKG,399558640.0,TIANLI HOLDINGS,TLKGJT,MainBoard,天利控股集团,2007-12-21,0000-00-00,Active,2000.0,,XHKG,CS,00117,00117_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
81,03983.XHKG,398119345.0,CHINA BLUECHEM,ZHSYHX,MainBoard,中海石油化学,2006-09-29,0000-00-00,Active,2000.0,,XHKG,CS,03983,03983_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
82,02632.XHKG,395922858.0,NEW VISION CO,ZJGF,MainBoard,泽景股份,2026-03-24,0000-00-00,Active,50.0,,XHKG,CS,02632,02632_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
83,02658.XHKG,387325492.0,TIANYU SEMI,TYBDT,MainBoard,天域半导体,2025-12-05,0000-00-00,Active,50.0,,XHKG,CS,02658,02658_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
84,06051.XHKG,385645767.0,YOUZAN,YZ,MainBoard,有赞,2026-04-17,0000-00-00,Active,4000.0,,XHKG,CS,06051,06051_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
85,02638.XHKG,376558344.0,HKELECTRIC-SS,GDSS,MainBoard,港灯-SS,2014-01-29,0000-00-00,Active,500.0,,XHKG,CS,02638,02638_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
86,01300.XHKG,374757340.0,TRIGIANT,JZJT,MainBoard,俊知集团,2012-03-19,0000-00-00,Active,2000.0,,XHKG,CS,01300,01300_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
87,01762.XHKG,366992586.0,WANKA ONLINE,WKYL,MainBoard,万咖壹联,2018-12-21,0000-00-00,Active,1000.0,,XHKG,CS,01762,01762_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
88,00628.XHKG,366494535.0,TONGTONG AI SOC,TTAISJ,MainBoard,通通AI社交,2002-07-24,0000-00-00,Active,2000.0,,XHKG,CS,00628,00628_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
89,09929.XHKG,364550270.0,SEM HLDGS,ADKG,MainBoard,澳达控股,2020-02-14,0000-00-00,Active,10000.0,,XHKG,CS,09929,09929_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
90,00133.XHKG,351010182.0,CHINA MERCHANTS,ZSJZGJJ,MainBoard,招商局中国基金,1993-07-22,0000-00-00,Active,2000.0,,XHKG,CS,00133,00133_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
91,02418.XHKG,347075727.0,DEEWIN,DYTX,MainBoard,德银天下,2022-07-15,0000-00-00,Active,1500.0,,XHKG,CS,02418,02418_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
92,03700.XHKG,332234206.0,INKEVERSE,YYZ,MainBoard,映宇宙,2018-07-12,0000-00-00,Active,1000.0,,XHKG,CS,03700,03700_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
93,00365.XHKG,326800532.0,SINO ICT,XCKJ,MainBoard,芯成科技,2000-10-16,0000-00-00,Active,2000.0,,XHKG,CS,00365,00365_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
94,01645.XHKG,312201332.0,HAINA INTEL,HNZN,MainBoard,海纳智能,2020-06-03,0000-00-00,Active,4000.0,,XHKG,CS,01645,01645_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
95,01050.XHKG,309860714.0,KARRIE INT'L,JLGJ,MainBoard,嘉利国际,1996-12-16,0000-00-00,Active,2000.0,,XHKG,CS,01050,01050_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
96,06887.XHKG,307241596.0,SUNSHINE PHARMA,DYGY,MainBoard,东阳光药,2025-08-07,0000-00-00,Active,100.0,,XHKG,CS,06887,06887_01.XHKG,,"09:31-12:00,13:01-16:00",2026-05-21,20260420,20260521,False
